Stt|Mã môn học|Tên môn học|Giáo viên nhập|Tên sách|Tác giả|Năm xb|Nơi xb/ Nhà xb|Ghi chú tài liệu|Tình trạng|Nơi lưu trữ|Tên sách đề nghị kiểm tra hoặc thay thế
83|CKCN22002|Công nghệ enzyme|Phạm Thị Trân Châu, Phan Tuấn Nghĩa, Công nghệ sinh học: Enzyme và ứng dụng, 2009, NXB Khoa học & Kỹ Thuật|Công nghệ sinh học: Enzyme và ứng dụng|Phạm Thị Trân Châu, Phan Tuấn Nghĩa|2009|NXB Khoa học & Kỹ Thuật|TK|Đặt mua|Không có|TTTT-TV - 2007
84|CKCN22102|Công nghệ lạnh thực phẩm|Hồ Sỹ Vương, Nguyễn Cao Cường, Bài giảng Công nghệ lạnh thực phẩm (lưu trữ tại Bộ môn CNSTH, Khoa CK-CN|Bài giảng Công nghệ lạnh thực phẩm|Hồ Sỹ Vương, Nguyễn Cao Cường|||BB|Đang bổ sung|Khoa/ BM|
85|CKCN22102|Công nghệ lạnh thực phẩm|Trần Đức Ba, Phạm Văn Bôn: cơ sở kỹ thuật lạnh thực phẩm, Đại học bách khoa HCM, 1980 (lưu trữ tại bộ môn CNSTH)|cơ sở kỹ thuật lạnh thực phẩm|Trần Đức Ba, Phạm Văn Bôn|1980|Đại học bách khoa HCM|TK|Phải nộp hoặc đổi tài liệu|Khoa/ BM|mua
86|CKCN22102|Công nghệ lạnh thực phẩm|Nguyễn Đức Lợi:, Hướng dẫn thiết kế hệ thống lạnh, NXB Khoa học kỹ thuật, 1995 (lưu trữ tại bộ môn CNSTH)|Hướng dẫn thiết kế hệ thống lạnh|Nguyễn Đức Lợi|1995|NXB Khoa học kỹ thuật,|TK|Đã có|TTTT-TV|
87|CKCN22102|Công nghệ lạnh thực phẩm|Trần Ðức Ba- Phạm Văn Bôn - Kỹ thuật công nghiệp lạnh đông- NXB Khoa học kỹ thuật- Hà Nội (lưu trữ tại bộ môn CNSTH)|Kỹ thuật công nghiệp lạnh đông|Trần Ðức Ba- Phạm Văn Bôn ||NXB Khoa học kỹ thuật- Hà Nội|TK|Phải nộp hoặc đặt mua|Khoa/ BM|
88|CKCN22102|Công nghệ lạnh thực phẩm|Trần Đức Ba: Kỹ thuật đông lạnh thực phẩm, NXB Thành phố Hồ Chí Minh, 1984 (lưu trữ tại bộ môn CNSTH)|Kỹ thuật đông lạnh thực phẩm| Trần Đức Ba:|1984|NXB Thành phố Hồ Chí Minh|TK|Đổi tài liệu|Không có|
89|CKCN22102|Công nghệ lạnh thực phẩm|Nguyễn Đức Lợi, Phạm Văn Tùy: kỹ thuật lạnh cơ sở, NXB giáo dục, 1990 (lưu trữ tại bộ môn CNSTH)|Kỹ thuật lạnh cơ sở|Nguyễn Đức Lợi, Phạm Văn Tùy|1990|NXB giáo dục|TK|Đã có|TTTT-TV|Kỹ thuật lạnh cơ sở / Nguyễn Đức Lợi, Phạm Văn Tùy. - Tái bản lần thứ tám. - [knxb] : Giáo dục, 2009
90|CKCN22202|Công nghệ sấy nông sản thực phẩm|Võ Văn Quốc Bảo (2016), Bài giảng công nghệ sấy nông sản thực phẩm. Khoa Cơ khí – Công nghệ|Bài giảng công nghệ sấy nông sản thực phẩm|Võ Văn Quốc Bảo|2016|Khoa Cơ khí – Công nghệ|BB|Đang bổ sung|Khoa/ BM|
91|CKCN22202|Công nghệ sấy nông sản thực phẩm|Hoàng Văn Chước (1999), Kỹ thuật sấy, NXB Khoa học và Kỹ thuật, Hà nội|Kỹ thuật sấy|Hoàng Văn Chước|1999|NXB Khoa học và Kỹ thuật|BB|Đã có|TTTT-TV|
92|CKCN22202|Công nghệ sấy nông sản thực phẩm|Trần văn Phú (2002). Tính toán và thiết kế hệ thống sấy. NXB Giáo dục, Hà nội|Tính toán và thiết kế hệ thống sấy|Trần văn Phú|2002|NXB Giáo dục|BB|Đã có|TTTT-TV|
93|CKCN22202|Công nghệ sấy nông sản thực phẩm|Gustavo V. Barbosa, (1996), Dehydration of Food, International Thomson Publising - New York.|Dehydration of Food, International Thomson|Gustavo V. Barbosa,|1996|Publising - New York|TK|Đổi tài liệu|Không có|
94|CKCN22202|Công nghệ sấy nông sản thực phẩm|Brooker D.B., Bakker-Arkema F.W., Hall C.W. (1982). Drying cereal grains. The AVI publishing company, Inc.|Drying cereal grains|Brooker D.B., Bakker-Arkema F.W., Hall C.W|1982|The AVI publishing company, Inc|TK|Đổi tài liệu|Không có|
95|CKCN22202|Công nghệ sấy nông sản thực phẩm|Arun S. Mujumdar, (1995), Handbook of Industrial Drying, Marcel Dekker, Inc - New York.|Handbook of Industrial Drying|Arun S. Mujumdar|1995|Marcel Dekker, Inc - New York|TK|Đổi tài liệu|Không có|
96|CKCN22202|Công nghệ sấy nông sản thực phẩm|Van’t Land C.M., (1995), Industrial Drying Equipment, Marcel Dekker, Inc- New York.|Industrial Drying Equipment|Van’t Land C.M.|1995|Marcel Dekker, Inc- New York.|TK|Đổi tài liệu|Không có|
97|CKCN23402|Hóa học thực phẩm|Hoàng Kim Anh, Hóa học thực phẩm, NXB Khoa học và Kỹ thuật, 2011, lưu trữ tại Bộ môn CNSTH|Hóa học thực phẩm|Hoàng Kim Anh|2011|NXB Khoa học và Kỹ thuật|BB|Phải nộp hoặc đặt mua|Khoa/ BM|
98|CKCN23402|Hóa học thực phẩm|Lê Ngọc Tú, Hóa học thực phẩm, NXB Khoa học và Kỹ thuật, 2001, lưu trữ tại Bộ môn CNSTH|Hóa học thực phẩm|Lê Ngọc Tú|2001|NXB Khoa học và Kỹ thuật|BB|Phải nộp hoặc đổi tài liệu|Khoa/ BM|
99|CKCN23402|Hóa học thực phẩm|Lê Văn Việt Mẫn (chủ biên), Công nghệ chế biến thực phẩm, NXB Đại học quốc gia TP. HCM, 2011, lưu trữ tại Thư viện|Công nghệ chế biến thực phẩm|Lê Văn Việt Mẫn (chủ biên)|2011| NXB Đại học quốc gia TP. HCM|TK|Đã có|TTTT-TV|
100|CKCN23402|Hóa học thực phẩm|Lê Ngọc Tú, Hóa sinh công nghiệp, NXB Khoa học và Kỹ thuật, 2010, lưu trữ tại Bộ môn CNSTH|Hóa sinh công nghiệp|Lê Ngọc Tú|2010|NXB Khoa học và Kỹ thuật,|tk|Phải nộp hoặc đặt mua|Khoa/ BM|Giáo trình hóa sinh công nghiệp / Cao Đăng Nguyên (Chủ biên), Phạm Thị Ngọc Lan- Huế : Đại học Huế, 2012. - 352tr. ; 24cm
101|CKCN24010|Khóa luận tốt nghiệp |Tài liệu chuyên ngành trong và ngoài nước liên quan đến vấn đề nghiên cứu.|Tài liệu chuyên ngành trong và ngoài nước liên quan đến vấn đề nghiên cứu.|||||Ko bàn|ko nêu cụ thể|
102|CKCN24010|Khóa luận tốt nghiệp |Tài liệu chuyên ngành trong và ngoài nước liên quan đến vấn đề nghiên cứu.|Tài liệu chuyên ngành trong và ngoài nước liên quan đến vấn đề nghiên cứu.|||||Ko bàn|ko nêu cụ thể|
103|CKCN24502|Kỹ thuật an toàn và môi trường|Nguyễn Thị Diễm Hương, Phan Tôn Thanh Tâm, Bài giảng Kỹ thuật an toàn và môi trường, Khoa Cơ khí - Công nghệ, trường ĐHNL Huế (lưu trữ tại Bộ môn CNSTH|Bài giảng Kỹ thuật an toàn và môi trường,|Nguyễn Thị Diễm Hương, Phan Tôn Thanh Tâm,|||BB|Đang bổ sung|Khoa/ BM|
104|CKCN24502|Kỹ thuật an toàn và môi trường|Nguyễn Văn Nghĩa, Phạm Thanh Cường (2006), Giáo trình Kỹ thuật an toàn và môi trường, Nhà xuất bản Bộ giáo dục và Đào tạo (lưu trữ tại Trung tâm thông tin Thư viện).|Giáo trình Kỹ thuật an toàn và môi trường|Nguyễn Văn Nghĩa, Phạm Thanh Cường|2006|Nhà xuất bản Bộ giáo dục và Đào tạo (|TK|Đã có|TTTT-TV|
105|CKCN24502|Kỹ thuật an toàn và môi trường|Trần Văn Địch, Đinh Đắc Hiến (2005), Kỹ thuật an toàn và môi trường, Nhà xuất bản Khoa học và Kỹ thuật (lưu trữ tại Trung tâm thông tin Thư viện|Kỹ thuật an toàn và môi trường,|Trần Văn Địch, Đinh Đắc Hiến |2005|Nhà xuất bản Khoa học và Kỹ thuật|TK|Đã có|TTTT-TV|
106|CKCN24702|Kỹ thuật điều khiển và tự động hóa|Lương Văn Lăng, Cơ sở tự động, NXB Đại học Quốc gia TP.HCM, 2002. BM Kỹ thuật điều khiển và Tự động hóa.|Cơ sở tự động| Lương Văn Lăng||NXB Đại học Quốc gia TP.HCM|BB|Đã có|Không có|
107|CKCN24702|Kỹ thuật điều khiển và tự động hóa|Nguyễn Ngọc Cẩn, Kỹ thuật điều khiển tự động, NXB Đại học Quốc gia TP.HCM, 2002. BM Kỹ thuật điều khiển và Tự động hóa.|Kỹ thuật điều khiển tự động|Nguyễn Ngọc Cẩn,|2002|NXB Đại học Quốc gia TP.HCM,|BB|Phải nộp hoặc đổi tài liệu|Khoa/ BM|
108|CKCN24702|Kỹ thuật điều khiển và tự động hóa|Nguyễn Thị Phương Hà, Bài tập điều khiển tự động, NXB Đại học Quốc gia TP.HCM, 2004. BM Kỹ thuật điều khiển và Tự động hóa.|Bài tập điều khiển tự động|Nguyễn Thị Phương Hà|2004|NXB Đại học Quốc gia TP.HCM,|TK|Đổi tài liệu|Không có|
109|CKCN24702|Kỹ thuật điều khiển và tự động hóa|Nguyễn Thị Phương Hà, Lý thuyết điều khiển tự động, NXB Đại học Quốc gia TP.HCM, 2005. BM Kỹ thuật điều khiển và Tự động hóa|Lý thuyết điều khiển tự động| Nguyễn Thị Phương Hà, |2005|NXB Đại học Quốc gia TP.HCM|TK|Đã có|Khoa/ BM| Bài giảng lý thuyết điều khiển tự động 1 / Nguyễn Văn Đạt. - Hà Nội, 2010. - 115tr. ; 27cm
110|CKCN24702|Kỹ thuật điều khiển và tự động hóa|Trần Hoài An, Lý thuyết điều khiển tự động (tập 1), NXB Giao thông vận tải, Hà Nội, 2005. BM Kỹ thuật điều khiển và Tự động hóa.|Lý thuyết điều khiển tự động (tập 1|Trần Hoài An|2005|NXB Giao thông vận tải, Hà Nội,|TK|Phải nộp hoặc đổi tài liệu|Khoa/ BM|Bài giảng lý thuyết điều khiển tự động 1 / Nguyễn Văn Đạt. - Hà Nội, 2010. - 115tr. ; 27cm
111|CKCN25102|Nhiệt kỹ thuật|Hồ Sỹ Vương, Nguyễn Thanh Long. Bài giảng Nhiệt Kỹ thuật (Lưu trữ tại Bộ môn CNSTH).|Bài giảng Nhiệt Kỹ thuật|Hồ Sỹ Vương, Nguyễn Thanh Long|||BB|Đang bổ sung|Khoa/ BM|
112|CKCN25102|Nhiệt kỹ thuật|Phạm Lê Dần, Đặng Phú Quốc, Bài tập Cơ sở kỹ thuật nhiệt, NXB Giáo dục, Hà Nội 1999 (lưu trữ tại bộ môn CNSTH, Khoa CKCN|Bài tập Cơ sở kỹ thuật nhiệt|Phạm Lê Dần, Đặng Phú Quốc|1999|NXB Giáo dục|TK|Đã có|Khoa/ BM|
113|CKCN25102|Nhiệt kỹ thuật|Phạm Lê Dần, Đặng Phú Quốc, Cơ sở kỹ thuật nhiệt, NXB Giáo dục, Hà Nội 2005 (lưu trữ tại bộ môn CNSTH, Khoa CKCN)|Cơ sở kỹ thuật nhiệt|Phạm Lê Dần, Đặng Phú Quốc|2016|NXB Giáo dục|TK|Đã có|Khoa/ BM|mua
114|CKCN25102|Nhiệt kỹ thuật|Phạm Lê Dần, Bùi Hải, Nhiệt động kỹ thuật, NXB KHKT, Hà Nội, 2005 (lưu trữ tại bộ môn CNSTH, Khoa CKCN)|Nhiệt động kỹ thuật| Phạm Lê Dần, Bùi Hải|2005|NXB KHKT, Hà Nội|TK|Phải nộp hoặc đặt mua|Khoa/ BM|
115|CKCN25102|Nhiệt kỹ thuật|Nguyễn Bốn, Hoàng Ngọc Đồng, Nhiệt kỹ thuật, NXB Giáo dục, Hà Nội 1999 (lưu trữ tại bộ môn CNSTH, Khoa CKCN)|Nhiệt kỹ thuật|Nguyễn Bốn, Hoàng Ngọc Đồng, |1999|NXB Giáo dục|TK|Phải nộp hoặc đổi tài liệu|Khoa/ BM|
116|CKCN25902|Nhiệt kỹ thuật|Hồ Sỹ Vương, Nguyễn Thanh Long. Bài giảng Nhiệt Kỹ thuật|Bài giảng Nhiệt Kỹ thuật|Hồ Sỹ Vương, Nguyễn Thanh Long|||Bb|Đang bổ sung|Khoa/ BM|
117|CKCN25902|Nhiệt kỹ thuật|Phạm Lê Dần, Đặng Phú Quốc, Bài tập Cơ sở kỹ thuật nhiệt, NXB Giáo dục, Hà Nội 1999.|Bài tập Cơ sở kỹ thuật nhiệt|Phạm Lê Dần, Đặng Phú Quố|1999|NXB Giáo dục, Hà Nội |Tk|Đã có|Không có|
118|CKCN25902|Nhiệt kỹ thuật|Phạm Lê Dần, Đặng Phú Quốc, Cơ sở kỹ thuật nhiệt, NXB Giáo dục, Hà Nội 2005.|Cơ sở kỹ thuật nhiệt| Phạm Lê Dần, Đặng Phú Quốc|2016|NXB Giáo dục, Hà Nội |Tk|Đã có|Không có|
119|CKCN25902|Nhiệt kỹ thuật|Phạm Lê Dần, Bùi Hải, Nhiệt động kỹ thuật, NXB KHKT, Hà Nội, 2005.|Nhiệt động kỹ thuật|Phạm Lê Dần, Bùi Hải,|2005|NXB KHKT, |Tk|Đổi tài liệu|Không có|TTTT-TV - 1997
120|CKCN25902|Nhiệt kỹ thuật|Nguyễn Bốn, Hoàng Ngọc Đồng, Nhiệt kỹ thuật, NXB Giáo dục, Hà Nội 1999.|Nhiệt kỹ thuật|Nguyễn Bốn, Hoàng Ngọc Đồng|1999|NXB Giáo dục, Hà Nội|Tk|Đổi tài liệu|Không có|
121|CKCN26202|Phụ gia thực phẩm|Tống Thị Quỳnh Anh (2010), Bài giảng Phụ gia thực phẩm, Lưu trữ tại Bộ môn CNSTH.|Bài giảng Phụ gia thực phẩm|Tống Thị Quỳnh Anh |2010||BB|Đang bổ sung|Khoa/ BM|
122|CKCN26202|Phụ gia thực phẩm|Nguyễn Duy Thịnh (2009), Hướng dẫn sử dụng phụ gia trong sản xuất thực phẩm, NXB Lao động, Lưu trữ tại Bộ môn CNSTH.|Hướng dẫn sử dụng phụ gia trong sản xuất thực phẩm|Nguyễn Duy Thịnh |(2009|NXB Lao động|BB|Phải nộp hoặc đặt mua|Khoa/ BM|
123|CKCN26202|Phụ gia thực phẩm|Nguyễn Chí Linh (2007), Bài giảng Phụ gia trong sản xuất thực phẩm, Trường Cao đẳng Cộng đồng Kiên Giang.|Bài giảng Phụ gia trong sản xuất thực phẩm,|Nguyễn Chí Linh|2007|Trường Cao đẳng Cộng đồng Kiên Giang|TK|Đang bổ sung|Khoa/ BM|
124|CKCN26202|Phụ gia thực phẩm|A. Larry Branen (2001), Food Additives.|Food Additives.|A. Larry Branen |2001||TK|Đổi tài liệu|Không có|
125|CKCN26202|Phụ gia thực phẩm|Quy định danh mục các chất phụ gia được phép sử dụng trong thực phẩm 3742/2001/QĐBYT của Bộ trưởng Bộ Y tế ngày 31/8/2001.|Quy định danh mục các chất phụ gia được phép sử dụng trong thực phẩm||2001||TK|internet|internet|
126|CKCN26702|Quản lý chất lượng nông sản, thực phẩm|Hà Duyên Tư , Quản lý chất lượng trong công nghiệp thực phẩm, NXB Đại học Bách khoa Hà Nội, 2004|Quản lý chất lượng trong công nghiệp thực phẩm|Hà Duyên Tư |2004|NXB Đại học Bách khoa Hà Nội|BB|Đổi tài liệu|Không có|
127|CKCN26702|Quản lý chất lượng nông sản, thực phẩm|FAO, Food quality and Safety Systems, 1998.|Food quality and Safety Systems|FAO|1998||TK|Đổi tài liệu|Không có|
128|CKCN26702|Quản lý chất lượng nông sản, thực phẩm|Phó Đức Trù, Phạm Hồng, ISO 9000-2000, NXB Khoa học kỹ thuật, Hà Nội 2002.|ISO 9000-2000|Phó Đức Trù, Phạm Hồng|2002|NXB Khoa học kỹ thuật, Hà Nội|TK|Đổi tài liệu|Không có|
129|CKCN26702|Quản lý chất lượng nông sản, thực phẩm|Nguyễn Hữu Dũng và cộng sự , Phân tích mối nguy và kiểm soát những diểm trọng yếu (Tài liệu dịch), NXB Nông nghiệp Hà Nội, 2000.|Phân tích mối nguy và kiểm soát những diểm trọng yếu (Tài liệu dịch)|Nguyễn Hữu Dũng và cộng sự|2000|NXB Nông nghiệp Hà Nội,|TK|Đổi tài liệu|Không có|
130|CKCN26802|Quy hoạch thực nghiệm|Bài giảng Quy hoạch thực nghiệm, Nguyễn Thị Vân Anh|Bài giảng Quy hoạch thực nghiệm,|Nguyễn Thị Vân Anh|||BB|Đang bổ sung|Khoa/ BM|
131|CKCN26802|Quy hoạch thực nghiệm|Nguyễn Cảnh, Quy hoạch thực nghiệm, NXB Đại học Quốc gia TP Hồ Chí Minh, 2004.|Quy hoạch thực nghiệm,|Nguyễn Cảnh|2004|NXB Đại học Quốc gia TP Hồ Chí Minh|BB|Đã có|TTTT-TV|
132|CKCN26802|Quy hoạch thực nghiệm|Nguyễn Thị Lan, Bài giảng Quy hoạch thực nghiệm, ĐH Đà Nẵng|Bài giảng Quy hoạch thực nghiệm|Nguyễn Thị Lan|||TK|Đang bổ sung|Khoa/ BM|
133|CKCN27802|Thiết kế nhà máy thực phẩm|Vệ Quốc Linh (2007) – Bài giảng Thiết kế nhà máy thực phẩm|Bài giảng Thiết kế nhà máy thực phẩm|Vệ Quốc Linh|2007||BB|Đang bổ sung|Khoa/ BM|
134|CKCN27802|Thiết kế nhà máy thực phẩm|Trần Thế Truyền (2006). Cơ sở Thiết kế nhà máy, Đại học Bách khoa Đà nẵng|Cơ sở Thiết kế nhà máy|Trần Thế Truyền|2006||TK|Đổi tài liệu|Không có|
135|CKCN27802|Thiết kế nhà máy thực phẩm|Nguyễn Nam (2003). Kiến trúc cảnh quan xí nghiệp công nghiệp, NXB xây dựng.|Kiến trúc cảnh quan xí nghiệp công nghiệp,|Nguyễn Nam|2003||TK|Đổi tài liệu|Không có|
136|CKCN27802|Thiết kế nhà máy thực phẩm|Nguyễn Minh Thái (2004). Thiết kế cấu tạo kiến trúc nhà công nghiệp, NXB Xây dựng.|Thiết kế cấu tạo kiến trúc nhà công nghiệp|Nguyễn Minh Thái |2004||TK|Đổi tài liệu|Không có|TTTT-TV-1995
137|CKCN27902|Thực phẩm truyền thống|Trần Bảo Khánh, Bài giảng Thực phẩm truyền thống. (Lưu trữ tại Bộ môn Công nghệ sau thu hoạch)|Bài giảng Thực phẩm truyền thống.|Trần Bảo Khánh|||BB|Đang bổ sung|Khoa/ BM|
138|CKCN27902|Thực phẩm truyền thống|Ngạc Văn Dậu, Nguyễn Hữu Song, Ðặng Hồng Ánh, Chế biến đậu nành và lạc thành thức ăn giàu protein, Nxb Nông nghiệp, 1983. (Lưu trữ tại Thư viện trường ĐHNL)|Chế biến đậu nành và lạc thành thức ăn giàu protein,|Ngạc Văn Dậu, Nguyễn Hữu Song, Ðặng Hồng Ánh|1983|Nxb Nông nghiệp,|TK|Đã có|TTTT-TV|
139|CKCN27902|Thực phẩm truyền thống|Lê Doãn Diên, Vũ Thị Thư, Dinh dưỡng người, Nxb Giáo dục, 1996. (Lưu trữ tại Thư viện trường ĐHNL)|Dinh dưỡng người|Lê Doãn Diên, Vũ Thị Thư|1996|Nxb Giáo dục|TK|Đã có|TTTT-TV|
140|CKCN27902|Thực phẩm truyền thống|Nguyễn Văn Thoa, Nguyễn Văn Tiếp, Quách Ðĩnh, Kỹ thuật bảo quản và chế biến rau quả, Nxb Khoa học kỹ thuật, Hà Nội 1982. (Lưu trữ tại Thư viện trường ĐHNL)|Kỹ thuật bảo quản và chế biến rau quả, Nxb Khoa học kỹ thuật|Nguyễn Văn Thoa, Nguyễn Văn Tiếp, Quách Ðĩnh, |1982|Nxb Khoa học kỹ thuật, Hà Nội |TK|Đã có|TTTT-TV|
141|CKCN28204|Thực tế nghề CNTP|Bao gồm các tài liệu liên quan đến công nghệ sản xuất các sản phẩm tại cơ sở thực tập.|Bao gồm các tài liệu liên quan đến công nghệ sản xuất các sản phẩm tại cơ sở thực tập.|||||Ko bàn|ko nêu cụ thể|
142|CKCN28204|Thực tế nghề CNTP|Tài liệu nội bộ về dây chuyền công nghệ thiết bị của cơ sở sản xuất cung cấp|Tài liệu nội bộ về dây chuyền công nghệ thiết bị của cơ sở sản xuất cung cấp|||||Ko bàn|Đơn vị thực tập|
143|CKCN29102|Vật lý học thực phẩm|Phạm Trần Thùy Hương. Bài giảng của học phần Vật lý học thực phẩm, Bộ môn Quản lý chất lượng thực phẩm, Khoa Cơ Khí Công Nghệ|Bài giảng của học phần Vật lý học thực phẩm|Phạm Trần Thùy Hương|||BB|Đang bổ sung|Khoa/ BM|
144|CKCN29102|Vật lý học thực phẩm|Hà Duyên Tư (2009). Phân tích hóa học thực phẩm, Nhà xuất bản khoa học và kỹ thuật, Bộ môn Quản lý chất lượng thực phẩm, Khoa Cơ Khí – Công Nghệ|Phân tích hóa học thực phẩm|Hà Duyên Tư|2009|Nhà xuất bản khoa học và kỹ thuật|BB|Đã có|TTTT-TV|TTTT-TV - 2013
145|CKCN29102|Vật lý học thực phẩm|MacDougall D.B. (2002), Colour in food – Improve quality, Woodhead Publishing Limited and CRC Press.|Colour in food – Improve quality,|MacDougall D.B|2002||TK|Đổi tài liệu|Không có|
146|CKCN29102|Vật lý học thực phẩm|Figura L.O. and A.A. Teixeira (2007), Food Physics: Physical Properties – Measurement and Applications, Springer-Verlag Berlin Heidelberg.|Food Physics: Physical Properties – Measurement and Applications| Figura L.O. and A.A. Teixeira |2007||TK|Đặt mua|Không có|
